date,unemployment_rate,year,month,lag_1,lag_3,lag_6,lag_12,rolling_3,rolling_6,rolling_12
2016-01-01,4.8,2016,1,5.0,5.0,5.2,5.7,4.966666666666666,5.0,5.2
2016-02-01,4.9,2016,2,4.8,5.1,5.1,5.5,4.9,4.966666666666667,5.1499999999999995
2016-03-01,5.0,2016,3,4.9,5.0,5.0,5.4,4.8999999999999995,4.966666666666667,5.116666666666666
2016-04-01,5.1,2016,4,5.0,4.8,5.0,5.4,5.0,4.983333333333333,5.091666666666667
2016-05-01,4.8,2016,5,5.1,4.9,5.1,5.6,4.966666666666666,4.933333333333333,5.0249999999999995
2016-06-01,4.9,2016,6,4.8,5.0,5.0,5.3,4.933333333333334,4.916666666666667,4.991666666666666
2016-07-01,4.8,2016,7,4.9,5.1,4.8,5.2,4.833333333333333,4.916666666666667,4.958333333333333
2016-08-01,4.9,2016,8,4.8,4.8,4.9,5.1,4.866666666666666,4.916666666666667,4.941666666666666
2016-09-01,5.0,2016,9,4.9,4.9,5.0,5.0,4.8999999999999995,4.916666666666667,4.941666666666666
2016-10-01,4.9,2016,10,5.0,4.8,5.1,5.0,4.933333333333334,4.883333333333333,4.933333333333333
2016-11-01,4.7,2016,11,4.9,4.9,4.8,5.1,4.866666666666667,4.866666666666667,4.9
2016-12-01,4.7,2016,12,4.7,5.0,4.9,5.0,4.766666666666667,4.833333333333333,4.875
2017-01-01,4.7,2017,1,4.7,4.9,4.8,4.8,4.7,4.816666666666667,4.866666666666666
2017-02-01,4.6,2017,2,4.7,4.7,4.9,4.9,4.666666666666667,4.766666666666667,4.841666666666667
2017-03-01,4.4,2017,3,4.6,4.7,5.0,5.0,4.566666666666666,4.666666666666667,4.791666666666667
2017-04-01,4.4,2017,4,4.4,4.7,4.9,5.1,4.466666666666668,4.583333333333334,4.733333333333333
2017-05-01,4.4,2017,5,4.4,4.6,4.7,4.8,4.4,4.533333333333333,4.7
2017-06-01,4.3,2017,6,4.4,4.4,4.7,4.9,4.366666666666667,4.466666666666667,4.65
2017-07-01,4.3,2017,7,4.3,4.4,4.7,4.8,4.333333333333333,4.4,4.608333333333333
2017-08-01,4.4,2017,8,4.3,4.4,4.6,4.9,4.333333333333333,4.366666666666666,4.566666666666667
2017-09-01,4.3,2017,9,4.4,4.3,4.4,5.0,4.333333333333333,4.3500000000000005,4.508333333333334
2017-10-01,4.2,2017,10,4.3,4.3,4.4,4.9,4.3,4.316666666666666,4.45
2017-11-01,4.2,2017,11,4.2,4.4,4.4,4.7,4.233333333333333,4.283333333333334,4.408333333333333
2017-12-01,4.1,2017,12,4.2,4.3,4.3,4.7,4.166666666666667,4.25,4.358333333333333
2018-01-01,4.0,2018,1,4.1,4.2,4.3,4.7,4.1000000000000005,4.2,4.3
2018-02-01,4.1,2018,2,4.0,4.2,4.4,4.6,4.066666666666666,4.1499999999999995,4.258333333333334
2018-03-01,4.0,2018,3,4.1,4.1,4.3,4.4,4.033333333333333,4.1000000000000005,4.2250000000000005
2018-04-01,4.0,2018,4,4.0,4.0,4.2,4.4,4.033333333333333,4.066666666666666,4.191666666666667
2018-05-01,3.8,2018,5,4.0,4.1,4.2,4.4,3.9333333333333336,3.9999999999999996,4.141666666666667
2018-06-01,4.0,2018,6,3.8,4.0,4.1,4.3,3.9333333333333336,3.983333333333333,4.116666666666666
2018-07-01,3.8,2018,7,4.0,4.0,4.0,4.3,3.8666666666666667,3.9499999999999997,4.075
2018-08-01,3.8,2018,8,3.8,3.8,4.1,4.4,3.8666666666666667,3.9000000000000004,4.0249999999999995
2018-09-01,3.7,2018,9,3.8,4.0,4.0,4.3,3.766666666666667,3.8499999999999996,3.975
2018-10-01,3.8,2018,10,3.7,3.8,4.0,4.2,3.766666666666667,3.816666666666667,3.9416666666666664
2018-11-01,3.8,2018,11,3.8,3.8,3.8,4.2,3.766666666666667,3.8166666666666664,3.908333333333333
2018-12-01,3.9,2018,12,3.8,3.7,4.0,4.1,3.8333333333333335,3.8000000000000003,3.891666666666666
2019-01-01,4.0,2019,1,3.9,3.8,3.8,4.0,3.9,3.8333333333333335,3.891666666666667
2019-02-01,3.8,2019,2,4.0,3.8,3.8,4.1,3.9,3.8333333333333335,3.8666666666666667
2019-03-01,3.8,2019,3,3.8,3.9,3.7,4.0,3.8666666666666667,3.8499999999999996,3.8499999999999996
2019-04-01,3.7,2019,4,3.8,4.0,3.8,4.0,3.766666666666666,3.8333333333333335,3.8249999999999997
2019-05-01,3.6,2019,5,3.7,3.8,3.8,3.8,3.7000000000000006,3.8000000000000003,3.8083333333333336
2019-06-01,3.6,2019,6,3.6,3.8,3.9,4.0,3.6333333333333333,3.75,3.775
2019-07-01,3.7,2019,7,3.6,3.7,4.0,3.8,3.6333333333333333,3.6999999999999997,3.766666666666667
2019-08-01,3.6,2019,8,3.7,3.6,3.8,3.8,3.6333333333333333,3.6666666666666665,3.75
2019-09-01,3.5,2019,9,3.6,3.6,3.8,3.7,3.6,3.616666666666667,3.733333333333333
2019-10-01,3.6,2019,10,3.5,3.7,3.7,3.8,3.5666666666666664,3.5999999999999996,3.716666666666667
2019-11-01,3.6,2019,11,3.6,3.6,3.6,3.8,3.5666666666666664,3.6,3.7000000000000006
2019-12-01,3.6,2019,12,3.6,3.5,3.6,3.9,3.6,3.6,3.6750000000000003
2020-01-01,3.6,2020,1,3.6,3.6,3.7,4.0,3.6,3.5833333333333335,3.641666666666666
2020-02-01,3.5,2020,2,3.6,3.6,3.6,3.8,3.5666666666666664,3.5666666666666664,3.6166666666666667
2020-03-01,4.4,2020,3,3.5,3.6,3.5,3.8,3.8333333333333335,3.716666666666667,3.6666666666666665
2020-04-01,14.8,2020,4,4.4,3.6,3.6,3.7,7.566666666666666,5.583333333333333,4.591666666666667
2020-05-01,13.2,2020,5,14.8,3.5,3.6,3.6,10.799999999999999,7.183333333333334,5.391666666666667
2020-06-01,11.0,2020,6,13.2,4.4,3.6,3.6,13.0,8.416666666666666,6.008333333333334
2020-07-01,10.2,2020,7,11.0,14.8,3.6,3.7,11.466666666666663,9.516666666666666,6.55
2020-08-01,8.4,2020,8,10.2,13.2,3.5,3.6,9.866666666666667,10.333333333333334,6.95
2020-09-01,7.8,2020,9,8.4,11.0,4.4,3.5,8.799999999999999,10.9,7.308333333333334
2020-10-01,6.9,2020,10,7.8,10.2,14.8,3.6,7.699999999999999,9.583333333333334,7.583333333333333
2020-11-01,6.7,2020,11,6.9,8.4,13.2,3.6,7.133333333333333,8.5,7.841666666666668
2020-12-01,6.7,2020,12,6.7,7.8,11.0,3.6,6.766666666666666,7.783333333333334,8.1
2021-01-01,6.4,2021,1,6.7,6.9,10.2,3.6,6.6000000000000005,7.1499999999999995,8.333333333333334
2021-02-01,6.2,2021,2,6.4,6.7,8.4,3.5,6.433333333333333,6.783333333333334,8.558333333333334
2021-03-01,6.1,2021,3,6.2,6.7,7.8,4.4,6.233333333333333,6.5,8.7
2021-04-01,6.1,2021,4,6.1,6.4,6.9,14.8,6.133333333333333,6.366666666666667,7.9750000000000005
2021-05-01,5.8,2021,5,6.1,6.2,6.7,13.2,5.999999999999999,6.216666666666666,7.358333333333333
2021-06-01,5.9,2021,6,5.8,6.1,6.7,11.0,5.933333333333333,6.083333333333333,6.933333333333334
2021-07-01,5.4,2021,7,5.9,6.1,6.4,10.2,5.699999999999999,5.916666666666667,6.533333333333332
2021-08-01,5.1,2021,8,5.4,5.8,6.2,8.4,5.466666666666666,5.733333333333333,6.258333333333334
2021-09-01,4.7,2021,9,5.1,5.9,6.1,7.8,5.066666666666666,5.5,6.0
2021-10-01,4.5,2021,10,4.7,5.4,6.1,6.9,4.766666666666666,5.233333333333333,5.8
2021-11-01,4.2,2021,11,4.5,5.1,5.8,6.7,4.466666666666666,4.966666666666667,5.591666666666666
2021-12-01,3.9,2021,12,4.2,4.7,5.9,6.7,4.199999999999999,4.633333333333334,5.358333333333333
2022-01-01,4.0,2022,1,3.9,4.5,5.4,6.4,4.033333333333332,4.3999999999999995,5.158333333333334
2022-02-01,3.8,2022,2,4.0,4.2,5.1,6.2,3.899999999999999,4.183333333333334,4.958333333333333
2022-03-01,3.7,2022,3,3.8,3.9,4.7,6.1,3.833333333333332,4.016666666666667,4.758333333333333
2022-04-01,3.7,2022,4,3.7,4.0,4.5,6.1,3.7333333333333325,3.8833333333333333,4.558333333333334
2022-05-01,3.6,2022,5,3.7,3.8,4.2,5.8,3.666666666666666,3.783333333333333,4.375
2022-06-01,3.6,2022,6,3.6,3.7,3.9,5.9,3.633333333333333,3.733333333333333,4.183333333333334
2022-07-01,3.5,2022,7,3.6,3.7,4.0,5.4,3.5666666666666664,3.65,4.025
2022-08-01,3.6,2022,8,3.5,3.6,3.8,5.1,3.566666666666666,3.6166666666666667,3.9000000000000004
2022-09-01,3.5,2022,9,3.6,3.6,3.7,4.7,3.5333333333333328,3.5833333333333335,3.8000000000000003
2022-10-01,3.6,2022,10,3.5,3.5,3.7,4.5,3.5666666666666664,3.566666666666667,3.7249999999999996
2022-11-01,3.6,2022,11,3.6,3.6,3.6,4.2,3.566666666666666,3.5666666666666664,3.6750000000000003
2022-12-01,3.5,2022,12,3.6,3.5,3.6,3.9,3.566666666666666,3.5499999999999994,3.641666666666666
2023-01-01,3.5,2023,1,3.5,3.6,3.5,4.0,3.5333333333333328,3.5499999999999994,3.5999999999999996
2023-02-01,3.6,2023,2,3.5,3.6,3.6,3.8,3.5333333333333328,3.5500000000000003,3.5833333333333335
2023-03-01,3.5,2023,3,3.6,3.5,3.5,3.7,3.5333333333333328,3.5500000000000003,3.5666666666666664
2023-04-01,3.4,2023,4,3.5,3.5,3.6,3.7,3.4999999999999996,3.516666666666666,3.5416666666666665
2023-05-01,3.6,2023,5,3.4,3.6,3.6,3.6,3.4999999999999996,3.516666666666667,3.5416666666666665
2023-06-01,3.6,2023,6,3.6,3.5,3.5,3.6,3.5333333333333328,3.5333333333333337,3.5416666666666665
2023-07-01,3.5,2023,7,3.6,3.4,3.5,3.5,3.566666666666666,3.5333333333333337,3.5416666666666665
2023-08-01,3.7,2023,8,3.5,3.6,3.6,3.6,3.5999999999999996,3.5500000000000003,3.5499999999999994
2023-09-01,3.8,2023,9,3.7,3.6,3.5,3.5,3.666666666666666,3.6,3.5749999999999997
2023-10-01,3.9,2023,10,3.8,3.5,3.4,3.6,3.7999999999999994,3.6833333333333336,3.6
2023-11-01,3.7,2023,11,3.9,3.7,3.6,3.6,3.7999999999999994,3.6999999999999997,3.608333333333334
2023-12-01,3.8,2023,12,3.7,3.8,3.6,3.5,3.7999999999999994,3.733333333333333,3.6333333333333333
2024-01-01,3.7,2024,1,3.8,3.9,3.5,3.5,3.7333333333333325,3.766666666666666,3.6500000000000004
2024-02-01,3.9,2024,2,3.7,3.7,3.7,3.6,3.7999999999999994,3.8000000000000003,3.6750000000000003
2024-03-01,3.9,2024,3,3.9,3.8,3.8,3.5,3.833333333333332,3.8166666666666664,3.7083333333333335
2024-04-01,3.9,2024,4,3.9,3.7,3.9,3.4,3.9,3.8166666666666664,3.75
2024-05-01,4.0,2024,5,3.9,3.9,3.7,3.6,3.9333333333333322,3.866666666666667,3.783333333333333
2024-06-01,4.1,2024,6,4.0,3.9,3.8,3.6,3.9999999999999987,3.9166666666666665,3.8249999999999997
2024-07-01,4.2,2024,7,4.1,3.9,3.7,3.5,4.099999999999999,4.0,3.8833333333333333
2024-08-01,4.2,2024,8,4.2,4.0,3.9,3.7,4.166666666666666,4.05,3.9250000000000003
2024-09-01,4.1,2024,9,4.2,4.1,3.9,3.8,4.166666666666666,4.083333333333333,3.9499999999999997
2024-10-01,4.1,2024,10,4.1,4.2,3.9,3.9,4.133333333333332,4.116666666666667,3.966666666666667
2024-11-01,4.2,2024,11,4.1,4.2,4.0,3.7,4.133333333333332,4.15,4.008333333333333
2024-12-01,4.1,2024,12,4.2,4.1,4.1,3.8,4.133333333333333,4.1499999999999995,4.033333333333333
